LAT,LONG
23.65489528,53.72155944
23.654915,53.70304611
23.65492556,53.72348417
23.6549375,53.72366278
23.65497806,53.7229975
23.65497889,47.72370917
23.65498417,53.72373972
23.655,47.70779361
23.65501056,53.72362472
23.65505639,47.72191917
23.65506194,53.72814028
23.65506222,53.72150417
23.655085,53.72389944
23.65508694,53.72154778
23.65510528,53.72175361
23.65515917,53.72405722
23.65519444,53.72183694
23.65523417,47.72204778
23.6552475,53.72177778
23.65526028,53.72235667
23.65526556,53.69922194
23.65528333,53.72444806
23.65530722,53.72198389
23.6553225,47.70767167
23.655325,47.72202194
23.65534194,47.72238
23.65534222,47.70867639
23.65536611,47.70767889
23.65536722,47.62021583
23.65537611,47.72184
23.65538111,53.7221925
23.65538639,53.71200667
23.6553925,53.72186167
23.65540639,47.72144
23.6554325,53.72223861
23.65543583,47.70758972
23.655455,53.72168972
23.65546222,53.72241917
23.65546417,53.73421389
23.65547,47.72177333
23.65547167,47.72154694
23.65547167,47.72193028
23.655495,47.72124222
23.65550389,53.72232917
23.65551611,53.72172083
23.65552222,47.72202611
23.6555375,53.72295056
23.65553972,47.7222525
23.65554639,53.72273472
23.65555611,47.7262525
23.65557111,53.72132222
23.65557583,53.72170694
23.6555825,53.72180361
23.65558917,53.72174778
23.65560361,47.70912889
23.65561083,53.72542833
23.65561611,47.72337
23.65562639,47.61694306
23.65565361,53.72192611
23.655665,53.72316806
23.65567028,47.72380222
23.65567528,53.72231167
23.65572472,47.70843444
23.65575583,53.72189306
23.65576333,47.72374083
23.65578306,53.72665972
23.65581833,47.72050861
23.65582583,53.72244556
23.65583611,47.72358722
23.65583639,53.7226275
23.65583889,47.72358111
23.65584361,47.72377333
23.65586611,47.72671778
23.655885,47.72392667
23.65591222,47.70836556
23.655945,47.70835611
23.65597639,53.72248806
23.65598139,47.7239925
23.6559925,47.71024583
23.65599333,47.70729806
23.65601167,47.72380944
23.65601222,47.70730333
23.65602139,47.7124525
23.65603278,47.71029722
23.65604972,47.70835028
23.656055,53.72287806
23.65608,53.73416389
23.65608306,53.72116194
23.65608639,47.71273639
23.65609361,47.72347139
23.656115,47.70721361
23.65612917,47.72112833
23.65613361,53.72329306
23.65613389,47.708935
23.65616139,53.72094
23.65616806,53.72337722
23.656175,47.71124889
23.65618083,53.72101361
23.65619583,53.72357556
23.65620083,53.72101333
23.65622556,53.70872556
23.65623139,53.72106861
23.65626083,53.72355028
23.65626472,47.70820333
23.6562675,47.71078639
23.65628139,47.72350417
23.65628306,47.7234
23.65631583,53.72362306
23.65631833,53.7279
23.65632667,53.72821194
23.65633611,53.72154583
23.65637028,53.72356444
23.65637861,53.72531389
23.65639611,53.72378694
23.65642056,53.72419889
23.65642167,53.70990972
23.65643222,53.72495167
23.65643833,47.70860444
23.65645389,53.72384806
23.65645889,47.72427861
23.65646056,47.72565778
23.65646333,53.72097528
23.65648833,53.72394139
23.65649944,47.72578167
23.65650194,47.70806028
23.65651472,53.72559083
23.65651611,53.72534889
23.65653194,53.72425667
23.65653583,47.70805583
23.65654194,53.72147583
23.65654722,53.72474639
23.656555,53.72210361
23.65656306,53.72404306
23.65656944,53.72135694
23.65657833,53.7220475
23.65658194,53.73783389
23.65659028,53.72887083
23.65660306,53.72574833
23.65662778,53.72905
23.65664222,53.72446333
23.65664806,53.72469639
23.65666222,47.72423778
23.65666306,53.72482583
23.65666472,53.7090825
23.65668278,47.72080417
23.65668556,53.72252417
23.65668806,53.72597694
23.65669139,53.73738028
23.656695,53.72208306
23.65670278,53.72573417
23.656705,53.72930722
23.65670667,53.72292833
23.65674806,53.72967583
23.65674944,47.72087972
23.65675139,53.72483611
23.65676528,53.72896528
23.65678167,53.73749028
23.65678639,53.72092028
23.65680667,53.72089583
23.65680917,53.72913
23.65681583,53.72094389
23.65681722,53.72312083
23.65681944,53.72915472
23.65683083,53.72099306
23.6568425,53.72927417
23.65684694,53.72267861
23.65685028,53.723145
23.65686778,53.72544861
23.65687333,53.72097083
23.65688833,53.72314056
23.65689139,53.72309417
23.65689583,53.72311472
23.65690917,53.72318
23.65694556,53.72634222
23.65696833,53.72243583
23.65697139,53.72058056
23.6569725,53.70376917
23.65697861,53.72928722
23.6569875,53.72366917
23.65699639,53.72691389
23.65700083,53.72737861
23.65700417,47.70831861
23.65700889,53.72236889
23.65701667,53.72663889
23.65702056,53.72074111
23.65702472,53.72321194
23.6570325,53.72923667
23.65703333,47.72572111
23.65703333,47.72576833
23.65704778,53.72540639
23.65707,53.72286806
23.65707389,53.72581333
23.65708167,53.72697361
23.6571125,53.7256925
23.65711306,53.72926472
23.65713694,53.723365
23.65714222,53.72367194
23.65715472,53.72607361
23.65719139,53.72312861
23.65720333,53.72595722
23.657205,53.72704361
23.65720694,47.72898861
23.65721833,53.72603944
23.65724056,47.70803167
23.65724167,53.72396861
23.6572525,53.72324667
23.65725556,53.7238625
23.65726639,53.7239275
23.65726833,53.72395611
23.65726889,53.72391722
23.65727167,53.72315917
23.65727444,53.72403917
23.65728139,53.72388667
23.65728333,53.72337111
23.65730722,47.72362194
23.65731222,53.72408472
23.65731528,53.72395722
23.65732167,53.72408306
23.65735556,47.72880583
23.65736639,53.72382444
23.65737944,53.72644389
23.65738528,53.72045972
23.65738583,53.72334972
23.65739194,53.72652639
23.65739611,53.72445722
23.65750111,53.72472778
23.65750444,53.72404083
23.65751194,53.72473611
23.65751528,53.72463056
23.65752528,53.72473111
23.65756556,53.72472917
23.65757611,53.72400194
23.65761,53.7243575
23.6576225,53.72162389
23.65763667,53.74146667
23.65764611,53.72060194
23.65764917,53.72778333
23.65766417,53.72029889
23.65767306,53.72050472
23.65767639,53.72457694
23.65768944,53.72244611
23.65771,53.72868
23.65771278,53.72725111
23.65771833,53.72730194
23.65771944,47.7237075
23.65773667,47.72688556
23.65776278,53.72271917
23.65777611,53.72230111
23.65777667,53.72841472
23.65781083,53.72722111
23.65781139,53.720795
23.65782722,53.72266139
23.65782806,53.72264306
23.65782889,53.72264778
23.65782972,53.72216444
23.65783083,53.72279194
23.65786222,53.72714194
23.65786694,53.72232194
23.65787056,53.72281667
23.6578775,53.72730417
23.65788278,53.72240889
23.65788639,53.72566833
23.65788722,53.72675972
23.65789,53.72222611
23.65789583,47.72850417
23.65792333,53.72720056
23.65793167,53.72286278
23.65793278,47.72723306
23.65794944,53.72310194
23.65795583,53.72851389
23.65796306,53.72593611
23.65796556,53.72307889
23.65797389,53.72148833
23.65798,53.72548889
23.65798583,53.72712889
23.65799028,53.72328694
23.65799417,53.72258139
23.6580025,53.72536972
23.6580075,53.72675
23.65801278,53.722595
23.65801889,53.72711778
23.65802111,53.72679472
23.65802444,53.72312917
23.65804417,53.72611667
23.65804833,53.7262225
23.65806361,47.72620694
23.65806556,47.72714389
23.65807778,53.72696889
23.65808306,47.72588028
23.65809806,53.72827056
23.65811417,53.72300056
23.65813222,53.72354333
23.65815556,53.72058583
23.658175,47.72690778
23.65818333,53.72824306
23.65819806,53.72707417
23.65820028,53.72693889
23.65820667,53.72909556
23.65820972,53.72975306
23.65821972,47.72644944
23.6582275,53.72258583
23.65822778,53.72706
23.65823444,47.72081722
23.65825472,47.72629083
23.6582975,53.726565
23.65832556,53.72706222
23.65833639,53.72900972
23.65835333,53.72916917
23.65837389,47.72900167
23.65837583,53.72918778
23.65837611,47.72174056
23.65838,53.70262167
23.65839083,53.72689556
23.6583925,53.72696417
23.6583925,53.72833417
23.65839528,53.73026083
23.65841778,53.7269075
23.65845,53.72689222
23.65847556,53.72682861
23.65847611,53.70288417
23.65851028,53.72692056
23.65851056,53.72701083
23.65851889,53.72681306
23.65852333,53.72660083
23.65853639,53.72144944
23.65853667,53.72685889
23.65854389,47.7009375
23.65854417,53.72131972
23.65855306,53.72154944
23.65857722,53.72686583
23.65857778,47.73181167
23.65858472,53.72687972
23.65859639,53.72231028
23.65860472,53.72227944
23.65860833,53.72434139
23.65862333,53.72162944
23.65863167,53.7285
23.6586375,53.72670111
23.65864306,47.72630306
23.65864833,53.7267875
23.65865583,53.72686806
23.65869639,53.72451889
23.65870111,53.72909361
23.65872306,53.72824194
23.65874139,47.72196306
23.65875,53.72631944
23.65876111,53.72642444
23.65877139,53.72695972
23.65878833,53.70218
23.65881778,53.72218944
23.65881861,53.72792528
23.65884389,53.72233556
23.6588875,47.72640444
23.65890056,53.72672917
23.65890611,53.724835
23.65890639,53.72354139
23.65891806,53.72628056
23.65893583,53.71980667
23.65893917,53.72255972
23.65895556,47.71202111
23.65895583,53.72313833
23.6589725,53.72628722
23.65899028,53.72264778
23.65900028,53.73054639
23.659005,53.72269611
23.65900528,53.72623028
23.65902417,53.71994861
23.65902917,53.72620889
23.65904389,53.72614028
23.65904528,53.72617944
23.65907278,47.72098944
23.659085,47.72223556
23.65908889,53.72245472
23.65909472,53.72895944
23.659095,53.73015111
23.65911806,53.72613056
23.65911861,47.72221944
23.65912111,47.73389278
23.659135,53.70321056
23.65913611,47.73377167
23.65914722,53.71986806
23.65915361,53.72629167
23.65917333,53.72890639
23.65918417,47.69289139
23.65920861,47.72732194
23.65921806,47.72656222
23.65922389,53.72891528
23.65923472,47.70176472
23.65923694,53.73360333
23.65924222,53.73402694
23.65927111,47.70274917
23.65927194,53.71989139
23.65931028,53.72880917
23.65934472,47.72170639
23.65935417,53.73306194
23.659355,53.72914222
23.65936806,53.72619667
23.65938306,47.7133625
23.65940778,53.72877861
23.65941333,47.70279861
23.65941639,53.73391444
23.65945611,53.72459222
23.65950222,53.72187139
23.65950667,53.72471583
23.65950694,53.71960861
23.65950722,53.72135556
23.65951389,53.72136111
23.65953389,53.72791083
23.65953889,53.72734694
23.65953944,53.73493667
23.65954028,53.72640222
23.65954611,53.72463139
23.65954722,53.72637944
23.65956333,53.73123361
23.65956583,47.72607917
23.65961083,53.7237175
23.65963806,53.72444083
23.65964944,53.72167083
23.65964972,53.70005167
23.65967667,47.73097833
23.65967833,47.68699889
